"table_name","column_name","python_datatype","db_datatype","row_count","unique_count","null_count","fill_rate_pct","top_10_values","bottom_10_values","min_length","max_length"
"procedures","proc_name","server-side","varchar(255)","45979641","~147,358","180951","99.61","1ST HOSPITAL IP/OBS CARE HIGH MDM 75 MINUTES(147628); 1ST HOSPITAL IP/OBS CARE MODERATE MDM 55 MINUTES(85610); 3D RENDERING W/INTERP & POSTPROCESS SUPERVISION(23817); 3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION(20361); 13 Or More Nerve Conduction Studies(16936); 1ST HOSPITAL IP/OBS CARE SF/LOW MDM 40 MINUTES(13820); 11-12 Nerve Conduction Studies(3580); 3D rendering with interpretation and reporting of MRI(3037); 3-D RADIOTHERAPY PLAN DOSE-VOLUME HISTOGRAMS(1312); 3-4 Nerve Conduction Studies(572)","2+ ANTI-HYPERTENSIVE AGENTS RXD OR TAKEN(1); 1 VISN +/-4.25-+/-7.00 0.12-2.00D(1); 1 em core session(1); 1 pc drainable ost pouch(1); 22nf nonsealed leadacid(1); 1>=risk or>= mod risk for te(1); 2 pc drainable ost pouch(1); 1 pc cnvx drainabl ost pouch(2); >=50% total pt outpt ra enct(2); >= 2 same hi-rsk med not ord(2)","",""
"procedures","proc_coding_system","server-side","varchar(30)","45979641","~3 (sampled)","24447754","46.83","CPT(438566); HCPCS(53819); CPTCodes(7615)","CPTCodes(7615); HCPCS(53819); CPT(438566)","",""
"procedures","proc_units","server-side","varchar(60)","45979641","~0 (sampled)","21000637","54.33","","","",""
"procedures","proc_description","server-side","varchar(255)","45979641","~0 (sampled)","17562416","61.8","","","",""
"procedures","proc_notes","server-side","varchar(60)","45979641","~0 (sampled)","45978333","0.0","","","",""
"procedures","anesthesia_flag","server-side","varchar(60)","45979641","~0 (sampled)","43880547","4.57","","","",""
"procedures","anesthesia_detail_id","server-side","varchar(60)","45979641","~0 (sampled)","45979641","0.0","","","",""
"procedures","ordering_provider_id","server-side","varchar(60)","45979641","~0 (sampled)","23803990","48.23","","","",""
"procedures","ordering_provider_name","server-side","varchar(60)","45979641","~0 (sampled)","41829186","9.03","","","",""
"procedures","ordering_provider_npi","server-side","varchar(60)","45979641","~0 (sampled)","27070862","41.12","","","",""
"procedures","rendering_provider_id","server-side","varchar(60)","45979641","~0 (sampled)","27001295","41.28","","","",""
"procedures","rendering_provider_name","server-side","varchar(60)","45979641","~0 (sampled)","45979641","0.0","","","",""
"procedures","rendering_provider_npi","server-side","varchar(60)","45979641","~0 (sampled)","45979641","0.0","","","",""
"procedures","referring_provider_id","server-side","varchar(100)","45979641","~1 (sampled)","36750007","20.07","","","",""
"procedures","referring_provider_name","server-side","varchar(60)","45979641","~0 (sampled)","45979641","0.0","","","",""
"procedures","referring_provider_npi","server-side","varchar(60)","45979641","~0 (sampled)","45145379","1.81","","","",""
"procedures","place_of_service_Id","server-side","varchar(60)","45979641","~0 (sampled)","25886022","43.7","","","",""
"procedures","place_of_service_desc","server-side","varchar(100)","45979641","~1 (sampled)","34400758","25.18","","","",""
"procedures","order_date","server-side","varchar(20)","45979641","~0 (sampled)","45979641","0.0","","","",""
"procedures","Diagnosis_Indication","server-side","varchar(20)","45979641","~1 (sampled)","45979641","0.0","","","",""
"procedures","nd_extracted_date","server-side","date","45979641","n/a","20144968","56.19","","","",""
"procedures","created_datetime","server-side","date","45979641","n/a","0","100.0","","","",""
"procedures","created_by","server-side","varchar(10)","45979641","~1 (sampled)","0","100.0","ND(500000)","ND(500000)","",""
"procedures","ehr_source_name","server-side","varchar(20)","45979641","~1 (sampled)","0","100.0","eCW(500000)","eCW(500000)","",""
"procedures","source_path","server-side","varchar(12)","45979641","~1 (sampled)","0","100.0","bronze_layer(500000)","bronze_layer(500000)","",""
"procedures","data_type","server-side","varchar(10)","45979641","~1 (sampled)","0","100.0","Structured(500000)","Structured(500000)","",""
"procedures","psid","server-side","int","45979641","~6,026","0","100.0","1(500000)","1(500000)","",""
"procedures","incremental_id","server-side","bigint unsigned","45979641","~1","45979641","0.0","","","",""
"procedures","udm_inc_id","server-side","bigint","45979641","~41,786,488","0","100.0","61312342(1); 61312343(1); 61312344(1); 61312345(1); 61312346(1); 61312347(1); 61312348(1); 61312349(1); 61312350(1); 61312351(1)","61312342(1); 61312343(1); 61312344(1); 61312345(1); 61312346(1); 61312347(1); 61312348(1); 61312349(1); 61312350(1); 61312351(1)","",""
"procedures","proc_code_std","server-side","varchar(500)","45979641","~894 (sampled)","179030","99.61","99214(52414); 99213(47423); 99204(24512); 99233(19777); 64483(12672); 99232(11649); J1100(10607); 99203(10112); 99244(9733); 99215(9500)","93005(1); 21501(1); 63091(1); 21555(1); 75953(1); S0630(1); 95973(1); 71552(1); 64614(1); 93000(1)","",""
"procedures","proc_coding_system_std","server-side","varchar(500)","45979641","~3 (sampled)","179030","99.61","CPT(441117); HCPCS(53947); NS(4936)","NS(4936); HCPCS(53947); CPT(441117)","",""
"procedures","enc_date_proxy","server-side","date","45979641","n/a","1906501","95.85","","","",""
"procedures","proc_modifier_std","server-side","varchar(100)","45979641","~0 (sampled)","45773268","0.45","","","",""
"procedures","proc_name_std","server-side","longtext","45979641","~806 (sampled)","179030","99.61","OFFICE O/P EST MOD 30 MIN(52414); OFFICE O/P EST LOW 20 MIN(47423); OFFICE O/P NEW MOD 45 MIN(24512); SBSQ HOSP IP/OBS HIGH 50(19777); NJX AA&/STRD TFRM EPI L/S 1(12672); SBSQ HOSP IP/OBS MODERATE 35(11649); Dexamethasone sodium phos(10607); OFFICE O/P NEW LOW 30 MIN(10112); OFF/OP CNSLTJ NEW/EST MOD 40(9733); OFFICE O/P EST HI 40 MIN(9500)","EXCISE INTRSPINL LESION SCRL(1); X-RAY EXAM PITUITARY SADDLE(1); CERVICAL LAMINOPLSTY 2/> SEG(1); ANALYZE NEUROSTIM COMPLEX(1); EXC FACE LES SBQ 2 CM/>(1); CHEMODENERV TRUNK MUSC 6/>(1); REMOVAL OF BRAIN TISSUE(1); REMOVE CAROTID BODY LESION(1); REMOVAL IMPLANT SUPERFICIAL(1); I&D DP ABSC/HMTMA SFT TS NCK(1)","",""
